pixels	R lum	G lum	B lum
0	2.443	2.378	2.4
5	2.445	2.448	2.465
10	2.49	2.493	2.303
15	2.413	2.808	2.548
20	2.63	2.76	2.6
25	2.643	2.89	2.653
30	2.768	3.055	2.575
35	2.88	3.353	2.748
40	2.983	3.665	2.793
45	3.1	4.038	2.858
50	3.153	4.435	2.778
55	3.375	5.07	2.95
60	3.58	5.648	3.053
65	3.76	6.31	3.168
70	4.048	7.035	3.27
75	4.228	7.76	3.283
80	4.495	8.581	3.42
85	4.74	9.466	3.553
90	5.055	10.4	3.705
95	5.375	11.42	3.808
100	5.858	12.83	4.103
105	6.263	13.94	4.148
110	6.54	15.23	4.39
115	6.928	16.46	4.595
120	7.553	17.85	4.51
125	7.788	19.2	4.73
130	8.413	21.04	5.043
135	8.713	22.96	5.305
140	9.646	24.78	5.658
145	10.35	26.93	5.933
150	11.1	29.07	6.285
155	11.89	31.29	6.615
160	12.76	33.74	6.898
165	13.27	35.65	7.135
170	14.41	38.47	7.588
175	15.53	41.37	7.866
180	16.35	44.06	8.288
185	17.55	47.39	8.761
190	18.71	50.56	9.068
195	19.98	54.14	9.516
200	21.18	57.75	10.07
205	22.72	61.57	10.5
210	24.16	65.76	11.08
215	25.92	70.24	11.59
220	27.75	75.3	12.16
225	29.4	80.99	12.94
230	31.44	87.03	13.54
235	33.94	93.39	13.77
240	36.39	101.8	15.02
245	39.97	111.1	15.81
250	44.64	119.2	15.93
255	47.19	119.8	16.21
